localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 65ae6ede9831f0d9514a477cc1d95128, 574345.74352096, 5917830.23083822, 53.40430521, -1.88169205, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 16.00000000, 240.00000000, 150.00000000, -0.78142005, Top, Wed Jun  2 16:21:36 2021, GS: Coarse
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 60d54d051cb0f4a37e1b8615cc782989, 574272.93110958, 5917852.97335784, 53.40451985, -1.88278171, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 18.00000000, 253.00000000, 163.00000000, -0.78142005, Top, Wed Jun  2 16:15:45 2021, GS: coarse
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 76c70ad5c0ad9700de9fa0083667d7bc, 574220.96322782, 5917873.71863212, 53.40471360, -1.88355837, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 14.00000000, 281.00000000, 191.00000000, -0.78142005, Top, Wed Jun  2 16:13:10 2021, GS: coarse
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 190e48d96957f34c12358c8417f45b95, 574168.65916214, 5917864.40950567, 53.40463729, -1.88434716, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 15.00000000, 262.00000000, 172.00000000, -0.78142005, Top, Wed Jun  2 16:08:16 2021, GS: very coarse
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 93240ffe46311758eecef51554d343db, 574030.24452510, 5917878.19687803, 53.40478063, -1.88642554, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 19.00000000, 222.00000000, 132.00000000, -0.78142005, Top, Wed Jun  2 16:01:24 2021, GS: Coarse
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 3721e0d4af00eb1b6641171e9049ba97, 573993.96428362, 5917875.59680032, 53.40476235, -1.88697177, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 21.00000000, 205.00000000, 115.00000000, -0.78142005, Top, Wed Jun  2 15:57:27 2021, GS: coarse
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, d42d228cf48e7c5de0671be5f2320dbc, 573921.32944176, 5917870.17044233, 53.40472376, -1.88806540, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 19.00000000, 206.00000000, 116.00000000, -0.78142005, Top, Wed Jun  2 15:53:43 2021, GS: medium BT: 115
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, e4bcb2ec7b136bacb837fde52415863d, 573922.01501281, 5917892.56667108, 53.40492494, -1.88804984, 30U, 0.00000000, 0.00000000, -1.00000000, Bedding, 19.00000000, 265.00000000, 175.00000000, -0.78142005, Top, Wed Jun  2 15:52:46 2021, GS: very coarse BT: 45 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 735bf0e8ee742a1a3e5048cc6822653f, 573971.49347562, 5917904.16328457, 53.40502223, -1.88730301, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 25.00000000, 244.00000000, 154.00000000, -0.78142005, Mid, Wed Jun  2 15:46:00 2021, BT: GS:
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 269db11fed6cc792651afeaa8ec96d24, 573976.18118709, 5917902.46162416, 53.40500628, -1.88723291, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 20.00000000, 291.00000000, 201.00000000, -0.78142005, Mid, Wed Jun  2 15:44:30 2021, GS: coarse BT:118
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 1be0becfd26b34a18355c91a5d1971b6, 574055.02262054, 5917907.80435475, 53.40504324, -1.88604595, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 11.00000000, 255.00000000, 165.00000000, -0.78142005, Mid, Wed Jun  2 15:38:32 2021, Pack 11 GS: Coarse BT: 169 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 38667ce0a4f1278f08eb035cf29983b6, 574085.89897157, 5917896.80559884, 53.40494006, -1.88558418, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 11.00000000, 210.00000000, 120.00000000, -0.78142005, Mid, Wed Jun  2 15:35:16 2021, Pack 11 Poor weathering  thick amalgamated bed BT: 160 GS: coarse
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 9c4ebd33fec60d941859493258e80b79, 574181.52673775, 5917874.84759443, 53.40472929, -1.88415119, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 15.00000000, 269.00000000, 179.00000000, -0.78142005, Top, Wed Jun  2 15:27:14 2021, Pack 11 GS: medium BT: 80
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, b3eb521fe46ed10750c1d69ad85a94d6, 574220.35108796, 5917896.26803564, 53.40491634, -1.88356227, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 14.00000000, 227.00000000, 137.00000000, -0.78142005, Mid, Wed Jun  2 15:19:42 2021, Pack 10 GS: coarse BT: 98
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 248043e8f80bd5617b59fa0b080a7d50, 574244.43405895, 5917882.07818963, 53.40478543, -1.88320342, 30U, 0.00000000, 0.00000000, -1.00000000, Bedding, 11.00000000, 217.00000000, 127.00000000, -0.78142005, Mid, Wed Jun  2 15:16:56 2021, Pack 10 BT: 26 GS: medium
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, c7a16143c244423f9caa209cf22e1d21, 574279.91271892, 5917854.43260450, 53.40453198, -1.88267637, 30U, 0.00000000, 0.00000000, -1.00000000, Bedding, 23.00000000, 251.00000000, 161.00000000, -0.78142005, Top, Wed Jun  2 15:13:07 2021, Pack 10 BT: 76 GS: medium
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 49e29ba620310bac6ca398918e91faa4, 574348.54234610, 5917899.63410003, 53.40492855, -1.88163360, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 9.00000000, 184.00000000, 94.00000000, -0.78142005, Channelly, Wed Jun  2 14:44:16 2021, Channelly amalgameated GS: Fine 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 9236aedee08945f3539b001f358fff2a, 574338.50323873, 5917868.69710013, 53.40465193, -1.88179187, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 10.00000000, 216.00000000, 126.00000000, -0.78142005, Mid, Wed Jun  2 14:35:06 2021, Pack 8 BT: 114 GS: coarse 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 0d7a99854f760554a230ddb8f120d039, 574339.97393845, 5917856.01972559, 53.40453779, -1.88177274, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 11.00000000, 262.00000000, 172.00000000, -0.78142005, Mid, Wed Jun  2 14:30:19 2021, Pack 9 BT 74 GS: medium 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, b8e0de8c10b94f3897238abd95735d5b, 574381.19709755, 5917842.99188313, 53.40441490, -1.88115586, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 19.00000000, 213.00000000, 123.00000000, -0.78142005, Mid, Wed Jun  2 14:27:24 2021, Pack 9 BT: 110 GS: coarse 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 699c087e2b7d7f3df91387e1c411a095, 574380.54233120, 5917879.15234616, 53.40473997, -1.88115718, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 11.00000000, 244.00000000, 154.00000000, -0.78142005, Mid, Wed Jun  2 14:24:06 2021, Pack 8 GS: coarse BT: 86 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, d6689b0d7e84fd779517087fddd9bb00, 574414.16654098, 5917882.05865768, 53.40476135, -1.88065082, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 23.00000000, 245.00000000, 155.00000000, -0.78142005, Mid, Wed Jun  2 14:20:15 2021, Pack 8 BT: 40 GS: coarse
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 34dead1c0c31ca8a064a06ec55157539, 574452.24119958, 5917882.16538706, 53.40475694, -1.88007819, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 18.00000000, 251.00000000, 161.00000000, -0.78142005, Bottom, Wed Jun  2 14:14:21 2021, Pack 7 GS: coarse BT: 71 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, fdef9479b20adfc937b02ad959676371, 574446.07517273, 5917867.89051141, 53.40462952, -1.88017429, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 14.00000000, 265.00000000, 175.00000000, -0.78142005, Mid, Wed Jun  2 14:09:51 2021, Pack 8 BT: 110 GS: coarse 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 2d2e7a1f92fd123916464545cd83bbd5, 574498.89522885, 5917860.82732162, 53.40455859, -1.87938160, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 25.00000000, 245.00000000, 155.00000000, -0.78142005, Mid, Wed Jun  2 14:03:56 2021, Pack 8 BT: 80 GS: coarse
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 7d5453b0ed81ac55b9a00888b1bb3c06, 574520.37024831, 5917869.88046304, 53.40463692, -1.87905650, 30U, 0.00000000, -1.00000000, -1.00000000, Bedding, 8.00000000, 245.00000000, 155.00000000, -0.78142005, Mid, Wed Jun  2 13:56:11 2021, Pack 7 GS: very coarse BT: 71
