localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, heading, declination, image name, timedate, notes
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 2fd916531c4b69f2b4ba6d765edd38b1, 574177.00262478, 5917861.14732832, 53.40460680, -1.88422245, 30U, 0.00000000, -1.00000000, -1.00000000, 232.00000000, -0.78142005, IMG_20210602_161007.jpeg, Wed Jun  2 16:10:36 2021, Cross bed pflow indicators
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, f5103f8abcdf147caca9fed190077f2e, 574030.39226628, 5917878.23145212, 53.40478092, -1.88642331, 30U, 0.00000000, -1.00000000, -1.00000000, 355.00000000, -0.78142005, IMG_20210602_155900.jpeg, Wed Jun  2 15:59:24 2021, Delta top cross beds
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 42a56b1a8b4fff779abbe852bbeb0e62, 574731.93070535, 5917822.63053446, 53.40418237, -1.87588605, 30U, 0.00000000, -1.00000000, -1.00000000, 128.00000000, -0.78142005, IMG_20210602_132807.jpeg, Wed Jun  2 13:28:32 2021, Cross cutting
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, b74c040b1ce1ef2c72ee348b7a3164e9, 575046.20267411, 5917890.22188578, 53.40474523, -1.87114371, 30U, 0.00000000, -1.00000000, -1.00000000, 87.00000000, -0.78142005, IMG_20210602_114459.jpeg, Wed Jun  2 11:45:33 2021, Dip variability
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 5162d23b8a49aa0131ff77fc0def65ac, 575059.20339985, 5917888.72068271, 53.40472989, -1.87094855, 30U, 0.00000000, -1.00000000, -1.00000000, 244.00000000, -0.78142005, IMG_20210602_114243.jpeg, Wed Jun  2 11:43:10 2021, Cross beds
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 3140a078f374d80ce2e1a0598dd9bb3a, 575198.29158308, 5917874.38419521, 53.40458125, -1.86886023, 30U, 657.32006836, 3.21600008, -1.00000000, 186.00000000, -0.78142005, IMG_20210602_112137.jpeg, Wed Jun  2 11:22:46 2021, Erosion surface- concave up lens shape A bit channelly 
b20941cf6eb3acadfbd08f542f9a4278, Locality 1, 6a1533656770862c44ea986b9c64c870, 575417.72909472, 5917893.55401192, 53.40472222, -1.86555556, 30U, 0.00000000, -1.00000000, -1.00000000, 287.00000000, -0.78142005, IMG_20210602_104334.jpeg, Wed Jun  2 10:44:00 2021, Bed 2
